iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
1,target_population,2,15,79,0,15,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.8404,0.7051,0.716,0.7103,0.7646
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,LogReg,TFIDF_profile_text,500,False,0.76,0.2533,0.3333,0.2879,0.695
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,LogReg,TFIDF_profile_text,500,False,0.76,0.2533,0.3333,0.2879,0.6683
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,Decision Tree,TFIDF_profile_text,500,False,0.73,0.322,0.3343,0.3113,0.5429
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,Decision Tree,TFIDF_profile_text,500,False,0.76,0.4304,0.3899,0.39,0.6072
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,Random Forest,TFIDF_profile_text,500,False,0.76,0.2533,0.3333,0.2879,0.5489
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,Random Forest,TFIDF_profile_text,500,False,0.76,0.2533,0.3333,0.2879,0.6451
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,SVM,TFIDF_profile_text,500,False,0.78,0.5104,0.3845,0.3816,
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,SVM,TFIDF_profile_text,500,False,0.78,0.4846,0.3986,0.4013,
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,AdaBoost,TFIDF_profile_text,500,False,0.73,0.2509,0.3202,0.2813,0.505
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,AdaBoost,TFIDF_profile_text,500,False,0.76,0.4218,0.3475,0.3207,0.4776
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,XGBoost,TFIDF_profile_text,500,False,0.74,0.5101,0.367,0.3743,0.5934
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,XGBoost,TFIDF_profile_text,500,False,0.73,0.3993,0.3626,0.3594,0.5947
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,LogReg,TFIDF_profile_text,500,True,0.77,0.4356,0.4225,0.422,0.6367
