iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
4,target_population,2,99,283,0,99,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.8115,0.7618,0.7152,0.7321,0.8555
4,target_population,2,99,283,0,99,K-Fold,5,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8403,0.8165,0.7412,0.7663,0.8674
4,target_population,2,99,283,0,99,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8272,0.7981,0.7192,0.7438,0.8656
4,target_population,2,99,283,0,99,K-Fold,5,XGBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8089,0.7596,0.7068,0.725,0.8039
4,target_population,2,99,283,0,99,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8063,0.7516,0.7149,0.729,0.8149
4,target_population,2,99,283,0,99,K-Fold,5,LogReg,TFIDF_profile_text+numeric_metadata,504,True,0.8272,0.7745,0.7947,0.7833,0.8708
4,target_population,2,99,283,0,99,LOOCV,,LogReg,TFIDF_profile_text+numeric_metadata,504,True,0.8325,0.7814,0.8114,0.7935,0.8779
4,target_population,2,99,283,0,99,K-Fold,5,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.7723,0.7101,0.7314,0.7184,0.7314
4,target_population,2,99,283,0,99,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.7723,0.7083,0.7248,0.7152,0.7248
4,target_population,2,99,283,0,99,K-Fold,5,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.8325,0.8073,0.726,0.7515,0.8671
4,target_population,2,99,283,0,99,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.8272,0.7981,0.7192,0.7438,0.8753
4,target_population,2,99,283,0,99,K-Fold,5,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.8298,0.7797,0.7702,0.7747,0.8393
4,target_population,2,99,283,0,99,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.8246,0.7713,0.7765,0.7738,0.8548
